Redewendung	sort_order	id	re1	re2	n_cum_1	n_seq_1	n_ic_cum_1	n_ic_seq_1	n_cum_2	n_seq_2	n_ic_cum_2	n_ic_seq_2	n_manual	n_manual_cmt	n_final	link
in Asche legen	1257	1257	in Asche + LEGEN		2	3 -> 2	2	3 -> 2							2	https://de.wiktionary.org/wiki/in_Asche_legen
in Bausch und Bogen	1258	1258	in Bausch und Bogen		4	4	4	4							4	https://de.wiktionary.org/wiki/in_Bausch_und_Bogen
in besten Händen sein	1259	1259	in besten Händen		8	8	8	8							8	https://de.wiktionary.org/wiki/in_besten_H%C3%A4nden_sein
in Betracht ziehen	1260	1260	in Betracht + ZIEHEN		265	440 -> 265	270	441 -> 270							265	https://de.wiktionary.org/wiki/in_Betracht_ziehen
in das Reich der Schatten hinabsteigen	1261	1261	in das Reich der Schatten + \bhinab(\b|s|z|g) + _STEIGEN		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/in_das_Reich_der_Schatten_hinabsteigen
in den Arsch gehen	1262	1262	in den Arsch + GEHEN		0	6 -> 0	0	7 -> 0							0	https://de.wiktionary.org/wiki/in_den_Arsch_gehen
in den Arsch kriechen	1263	1263	in den Arsch + KRIECHEN		0	6 -> 0	0	7 -> 0							0	https://de.wiktionary.org/wiki/in_den_Arsch_kriechen
in den Boden versinken	1264	1264	in den Boden + VERSINKEN		0	148 -> 0	0	148 -> 0							0	https://de.wiktionary.org/wiki/in_den_Boden_versinken
in den Clinch gehen	1265	1265	in den Clinch + GEHEN		1	1 -> 1	1	1 -> 1							1	https://de.wiktionary.org/wiki/in_den_Clinch_gehen
in den Clinch nehmen	1266	1266	in den Clinch + NEHMEN		0	1 -> 0	0	1 -> 0							0	https://de.wiktionary.org/wiki/in_den_Clinch_nehmen
in den Federn	1267	1267	in den Federn		3	3	3	3							3	https://de.wiktionary.org/wiki/in_den_Federn
in den Hafen der Ehe einlaufen	1268	1268	in den Hafen der Ehe + \bein(\b|l|z|g) + _LAUFEN		0	3 -> 0 -> 0	0	3 -> 0 -> 0							0	https://de.wiktionary.org/wiki/in_den_Hafen_der_Ehe_einlaufen
in den Keller gehen, um zu lachen	1269	1269	um zu lachen + in den Keller + GEHEN		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/in_den_Keller_gehen%2C_um_zu_lachen
in den letzten Zügen liegen	1270	1270	in den letzten Zügen + LIEGEN		4	12 -> 4	4	12 -> 4							4	https://de.wiktionary.org/wiki/in_den_letzten_Z%C3%BCgen_liegen
in den Rücken fallen	1271	1271	in den Rücken + FALLEN		28	119 -> 28	28	119 -> 28							28	https://de.wiktionary.org/wiki/in_den_R%C3%BCcken_fallen
in den Sand setzen	1272	1272	in den Sand + SETZEN		35	96 -> 35	36	97 -> 36							35	https://de.wiktionary.org/wiki/in_den_Sand_setzen
in den sauren Apfel beißen	1273	1273	in den sauren Apfel		10	10	10	10							10	https://de.wiktionary.org/wiki/in_den_sauren_Apfel_bei%C3%9Fen
in den Schatten stellen	1274	1274	in den Schatten + STELLEN		98	120 -> 98	99	120 -> 99							98	https://de.wiktionary.org/wiki/in_den_Schatten_stellen
in den Seilen hängen	1275	1275	in den Seilen + häng		2	3 -> 2	2	3 -> 2							2	https://de.wiktionary.org/wiki/in_den_Seilen_h%C3%A4ngen
in den Startlöchern scharren	1276	1276	in den Startlöchern + scharr		5	157 -> 5	5	157 -> 5							5	https://de.wiktionary.org/wiki/in_den_Startl%C3%B6chern_scharren
in den Startlöchern sein	1277	1277	in den Startlöchern + SEIN		23	157 -> 23	23	157 -> 23							23	https://de.wiktionary.org/wiki/in_den_Startl%C3%B6chern_sein
in den Startlöchern sitzen	1278	1278	in den Startlöchern + SITZEN		7	157 -> 7	7	157 -> 7							7	https://de.wiktionary.org/wiki/in_den_Startl%C3%B6chern_sitzen
in den Startlöchern stehen	1279	1279	in den Startlöchern + STEHEN		128	157 -> 128	130	157 -> 130							128	https://de.wiktionary.org/wiki/in_den_Startl%C3%B6chern_stehen
in den Startlöchern warten	1280	1280	in den Startlöchern + warte		2	157 -> 2	2	157 -> 2							2	https://de.wiktionary.org/wiki/in_den_Startl%C3%B6chern_warten
in den Sternen geschrieben stehen	1281	1281	in den Sternen geschrieben + STEHEN	in den Sternen geschrieben + SEIN	0	0 -> 0	0	0 -> 0	0	0 -> 0	0	0 -> 0			0	https://de.wiktionary.org/wiki/in_den_Sternen_geschrieben_stehen
in den Sternen stehen	1282	1282	in den Sternen + STEHEN	in den Sternen + SEIN	100	109 -> 100	101	109 -> 101	11	109 -> 11	11	109 -> 11			100	https://de.wiktionary.org/wiki/in_den_Sternen_stehen
in der Klemme sitzen	1283	1283	in der Klemme + SITZEN		7	25 -> 7	8	25 -> 8							7	https://de.wiktionary.org/wiki/in_der_Klemme_sitzen
in der Klemme stecken	1284	1284	in der Klemme + STECKEN		13	25 -> 13	13	25 -> 13							13	https://de.wiktionary.org/wiki/in_der_Klemme_stecken
in der Kreide stehen	1285	1285	in der Kreide + STEHEN		20	25 -> 20	22	25 -> 22							20	https://de.wiktionary.org/wiki/in_der_Kreide_stehen
in der Lage sein	1286	1286	in der Lage + SEIN		1575	1872 -> 1575	1592	1873 -> 1592							1575	https://de.wiktionary.org/wiki/in_der_Lage_sein
in der Luft liegen	1287	1287	in der Luft + LIEGEN		164	661 -> 164	168	661 -> 168							164	https://de.wiktionary.org/wiki/in_der_Luft_liegen
in der Patsche sitzen	1288	1288	in der Patsche + SITZEN		1	1 -> 1	1	1 -> 1							1	https://de.wiktionary.org/wiki/in_der_Patsche_sitzen
in der Scheiße sitzen	1289	1289	in der Scheiße + SITZEN		0	5 -> 0	0	5 -> 0							0	https://de.wiktionary.org/wiki/in_der_Schei%C3%9Fe_sitzen
in der Scheiße stecken	1290	1290	in der Scheiße + STECKEN		5	5 -> 5	5	5 -> 5							5	https://de.wiktionary.org/wiki/in_der_Schei%C3%9Fe_stecken
in der Schmiere sitzen	1291	1291	in der Schmiere + SITZEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/in_der_Schmiere_sitzen
in der Tat	1292	1292	in der Tag		0	0	0	0							0	https://de.wiktionary.org/wiki/in_der_Tat
in der Tinte sitzen	1293	1293	in der Tinte + SITZEN		1	2 -> 1	1	2 -> 1							1	https://de.wiktionary.org/wiki/in_der_Tinte_sitzen
in der Versenkung verschwinden	1294	1294	in der Versenkung + \bverschw.nd		32	34 -> 32	32	34 -> 32							32	https://de.wiktionary.org/wiki/in_der_Versenkung_verschwinden
in die Beine gehen	1295	1295	in die Beine + GEHEN		5	28 -> 5	5	28 -> 5							5	https://de.wiktionary.org/wiki/in_die_Beine_gehen
in die Binsen gehen	1296	1296	in die Binsen + GEHEN		2	3 -> 2	2	3 -> 2							2	https://de.wiktionary.org/wiki/in_die_Binsen_gehen
in die Bredouille bringen	1297	1297	in die Bredouille + BRINGEN		26	41 -> 26	26	41 -> 26							26	https://de.wiktionary.org/wiki/in_die_Bredouille_bringen
in die Bresche springen	1298	1298	in die Bresche + SPRINGEN		51	56 -> 51	52	56 -> 52							51	https://de.wiktionary.org/wiki/in_die_Bresche_springen
in die Brüche gehen	1299	1299	in die Brüche + GEHEN		49	49 -> 49	49	49 -> 49							49	https://de.wiktionary.org/wiki/in_die_Br%C3%BCche_gehen
in die eigene Tasche wirtschaften	1300	1300	in die eigene Tasche + wirtschafte		5	14 -> 5	5	14 -> 5							5	https://de.wiktionary.org/wiki/in_die_eigene_Tasche_wirtschaften
in die Eisen gehen	1301	1301	in die Eisen + GEHEN		1	6 -> 1	1	6 -> 1							1	https://de.wiktionary.org/wiki/in_die_Eisen_gehen
in die ewigen Jagdgründe eingehen	1302	1302	in die ewigen Jagdgründe + \bein(\b|z|g) + _GEHEN		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/in_die_ewigen_Jagdgr%C3%BCnde_eingehen
in die Federn	1303	1303	in die Federn		0	0	0	0							0	https://de.wiktionary.org/wiki/in_die_Federn
in die Hose gehen	1304	1304	in die Hose + GEHEN		71	98 -> 71	72	98 -> 72							71	https://de.wiktionary.org/wiki/in_die_Hose_gehen
in die Höhle des Löwen gehen	1305	1305	in die Höhle des Löwen + GEHEN		0	6 -> 0	0	6 -> 0							0	https://de.wiktionary.org/wiki/in_die_H%C3%B6hle_des_L%C3%B6wen_gehen
in die Irre gehen	1306	1306	in die Irre + GEHEN		6	89 -> 6	7	89 -> 7							6	https://de.wiktionary.org/wiki/in_die_Irre_gehen
in die Luft fliegen	1307	1307	in die Luft + FLIEGEN		30	529 -> 30	31	529 -> 31							30	https://de.wiktionary.org/wiki/in_die_Luft_fliegen
in die Luft jagen	1308	1308	in die Luft + jag		54	529 -> 54	55	529 -> 55							54	https://de.wiktionary.org/wiki/in_die_Luft_jagen
in die Pilze gehen	1309	1309	in die Pilze + GEHEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/in_die_Pilze_gehen
in die Puschen kommen	1310	1310	in die Puschen + KOMMEN		4	5 -> 4	5	5 -> 5							4	https://de.wiktionary.org/wiki/in_die_Puschen_kommen
in die Steinzeit zurückbomben	1311	1311	in die Steinzeit + \bzurück(\b|b|z|g) + bomb		1	10 -> 3 -> 1	1	10 -> 4 -> 1							1	https://de.wiktionary.org/wiki/in_die_Steinzeit_zur%C3%BCckbomben
in die Suppe schauen mehr Augen hinein als heraus	1312	1312	in die Suppe + mehr Augen + hinein + heraus + schau		0	14 -> 0 -> 0 -> 0 -> 0	0	14 -> 0 -> 0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/in_die_Suppe_schauen_mehr_Augen_hinein_als_heraus
in die Trickkiste greifen	1313	1313	in die Trickkiste + GREIFEN		4	6 -> 4	5	6 -> 5							4	https://de.wiktionary.org/wiki/in_die_Trickkiste_greifen
in ein Wespennest stechen	1314	1314	in ein Wespennest + STECHEN		4	4 -> 4	4	4 -> 4							4	https://de.wiktionary.org/wiki/in_ein_Wespennest_stechen
in einem Affenzahn	1315	1315	in einem Affenzahn		1	1	1	1							1	https://de.wiktionary.org/wiki/in_einem_Affenzahn
in einem fort	1316	1316	in einem fort		4	4	8	8							4	https://de.wiktionary.org/wiki/in_einem_fort
in einem goldenen Käfig sitzen	1317	1317	in einem goldenen Käfig + SITZEN		0	4 -> 0	0	4 -> 0							0	https://de.wiktionary.org/wiki/in_einem_goldenen_K%C3%A4fig_sitzen
in einem Stück	1318	1318	in einem Stück		27	27	27	27							27	https://de.wiktionary.org/wiki/in_einem_St%C3%BCck
in einem Zug	1319	1319	in einem Zug + MANUAL_REVIEW		78	78 -> 78	78	78 -> 78							78	https://de.wiktionary.org/wiki/in_einem_Zug
in einem Zuge	1320	1320	in einem Zuge		8	8	8	8							8	https://de.wiktionary.org/wiki/in_einem_Zuge
in etwas zu Hause sein	1321	1321	in + zu Hause + SEIN + MANUAL_REVIEW		340	1209189 -> 896 -> 340 -> 340	344	1209309 -> 897 -> 344 -> 344					74	11/50 * 338	74	https://de.wiktionary.org/wiki/in_etwas_zu_Hause_sein
in Fahrt	1322	1322	in Fahrt		165	165	165	165							165	https://de.wiktionary.org/wiki/in_Fahrt
in festen Händen sein	1323	1323	in festen Händen		12	12	12	12							12	https://de.wiktionary.org/wiki/in_festen_H%C3%A4nden_sein
in flagranti	1324	1324	in flagranti		16	16	17	17							16	https://de.wiktionary.org/wiki/in_flagranti
in Flammen aufgehen	1325	1325	in Flammen + \bauf(\b|z|g) + _GEHEN		212	493 -> 244 -> 212	215	493 -> 247 -> 215							212	https://de.wiktionary.org/wiki/in_Flammen_aufgehen
in Flammen stehen	1326	1326	in Flammen + STEHEN	in Flammen + SEIN	216	493 -> 216	217	493 -> 217	93	493 -> 93	93	493 -> 93			216	https://de.wiktionary.org/wiki/in_Flammen_stehen
in Frage kommen	1327	1327	in Frage + KOMMEN		516	1055 -> 516	528	1056 -> 528							516	https://de.wiktionary.org/wiki/in_Frage_kommen
in freier Wildbahn	1328	1328	in freier Wildbahn		89	89	89	89							89	https://de.wiktionary.org/wiki/in_freier_Wildbahn
in Furcht und Schrecken versetzen	1329	1329	Furcht und Schrecken + versetz		0	2 -> 0	0	2 -> 0							0	https://de.wiktionary.org/wiki/in_Furcht_und_Schrecken_versetzen
in Gottes Namen	1330	1330	in Gottes Namen		7	7	7	7							7	https://de.wiktionary.org/wiki/in_Gottes_Namen
in guten Händen sein	1331	1331	in guten Händen	in sicheren Händen	21	21	21	21	3	3	3	3			21	https://de.wiktionary.org/wiki/in_guten_H%C3%A4nden_sein
in Hülle und Fülle	1332	1332	in Hülle und Fülle		29	29	30	30							29	https://de.wiktionary.org/wiki/in_H%C3%BClle_und_F%C3%BClle
in jemandem seinen Meister finden	1333	1333	SEINMA Meister + FINDEN		17	33 -> 17	17	33 -> 17							17	https://de.wiktionary.org/wiki/in_jemandem_seinen_Meister_finden
in jemandes Namen	1334	1334	in SEINMND Namen		0	0	0	0							0	https://de.wiktionary.org/wiki/in_jemandes_Namen
in Kauf nehmen	1335	1335	in Kauf + NEHMEN + MANUAL_REVIEW		517	520 -> 517 -> 517	522	524 -> 522 -> 522							517	https://de.wiktionary.org/wiki/in_Kauf_nehmen
in Kraft treten	1336	1336	in Kraft + TRETEN	in Kraft + SEIN	1188	1466 -> 1188	1190	1467 -> 1190	334	1466 -> 334	335	1467 -> 335			1188	https://de.wiktionary.org/wiki/in_Kraft_treten
in Lohn und Brot sein	1337	1337	in Lohn und Brot		11	11	11	11							11	https://de.wiktionary.org/wiki/in_Lohn_und_Brot_sein
in Lohn und Brot stehen	1338	1338	in Lohn und Brot		11	11	11	11							11	https://de.wiktionary.org/wiki/in_Lohn_und_Brot_stehen
in Minne	1339	1339	in Minne		3	3	3	3							3	https://de.wiktionary.org/wiki/in_Minne
in Morpheus’ Armen	1340	1340	in Morpheus + Armen		1	2 -> 1	1	2 -> 1							1	https://de.wiktionary.org/wiki/in_Morpheus%E2%80%99_Armen
in Morpheus’ Armen ruhen	1341	1341	in Morpheus + Armen + RUHEN		0	2 -> 1 -> 0	0	2 -> 1 -> 0							0	https://de.wiktionary.org/wiki/in_Morpheus%E2%80%99_Armen_ruhen
in natura	1342	1342	in natura		7	7	13	13							7	https://de.wiktionary.org/wiki/in_natura
in Not und Tod	1343	1343	in Not und Tod		0	0	0	0							0	https://de.wiktionary.org/wiki/in_Not_und_Tod
in null Komma nichts	1344	1344	in null Komma nichts		1	1	1	1							1	https://de.wiktionary.org/wiki/in_null_Komma_nichts
in Rauch und Flammen aufgehen	1345	1345	in Rauch und Flammen + \bauf(\b|z|g) + _GEHEN		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/in_Rauch_und_Flammen_aufgehen
in rauen Mengen	1346	1346	in rauen Mengen		7	7	7	7							7	https://de.wiktionary.org/wiki/in_rauen_Mengen
in Reih und Glied	1347	1347	in Reih und Glied		15	15	15	15							15	https://de.wiktionary.org/wiki/in_Reih_und_Glied
in Sack und Asche gehen	1348	1348	in Sack und Asche + GEHEN		2	3 -> 2	2	3 -> 2							2	https://de.wiktionary.org/wiki/in_Sack_und_Asche_gehen
in Saus und Braus leben	1349	1349	in Saus und Braus + LEBEN		4	11 -> 4	10	11 -> 10							4	https://de.wiktionary.org/wiki/in_Saus_und_Braus_leben
in Schach halten	1350	1350	in Schach + HALTEN		83	86 -> 83	83	86 -> 83							83	https://de.wiktionary.org/wiki/in_Schach_halten
in See gehen	1351	1351	in See + GEHEN		4	64 -> 4	4	64 -> 4							4	https://de.wiktionary.org/wiki/in_See_gehen
in See stechen	1352	1352	in See + STECHEN		54	64 -> 54	54	64 -> 54							54	https://de.wiktionary.org/wiki/in_See_stechen
in See stoßen	1353	1353	in See + STOẞEN		0	64 -> 0	0	64 -> 0							0	https://de.wiktionary.org/wiki/in_See_sto%C3%9Fen
in sicheren Händen sein	1354	1354	in sicheren Händen		3	3	3	3							3	https://de.wiktionary.org/wiki/in_sicheren_H%C3%A4nden_sein
in sieben Sprachen schweigen	1355	1355	in sieben Sprachen + SCHWEIGEN		0	3 -> 0	0	3 -> 0							0	https://de.wiktionary.org/wiki/in_sieben_Sprachen_schweigen
in Stein gemeißelt sein	1356	1356	in Stein gemeißelt + SEIN		26	38 -> 26	26	38 -> 26							26	https://de.wiktionary.org/wiki/in_Stein_gemei%C3%9Felt_sein
in Strömen regnen	1357	1357	in Strömen + regn		19	46 -> 19	19	46 -> 19							19	https://de.wiktionary.org/wiki/in_Str%C3%B6men_regnen
in Teufels Küche kommen	1358	1358	in Teufels Küche + KOMMEN		0	4 -> 0	0	4 -> 0							0	https://de.wiktionary.org/wiki/in_Teufels_K%C3%BCche_kommen
in trockenen Tüchern	1359	1359	in trockenen Tüchern		39	39	39	39							39	https://de.wiktionary.org/wiki/in_trockenen_T%C3%BCchern
in vollem Gange sein	1360	1360	in vollem Gange + SEIN		143	146 -> 143	143	146 -> 143							143	https://de.wiktionary.org/wiki/in_vollem_Gange_sein
in vorauseilendem Gehorsam	1361	1361	in vorauseilendem Gehorsam		2	2	2	2							2	https://de.wiktionary.org/wiki/in_vorauseilendem_Gehorsam
in Wind und Wetter	1362	1362	in Wind und Wetter		0	0	0	0							0	https://de.wiktionary.org/wiki/in_Wind_und_Wetter
in Windeseile	1363	1363	in Windeseile		66	66	67	67							66	https://de.wiktionary.org/wiki/in_Windeseile
in Zungen sprechen	1364	1364	in Zungen + SPRECHEN		1	2 -> 1	1	2 -> 1							1	https://de.wiktionary.org/wiki/in_Zungen_sprechen
in Züchten	1365	1365	in Züchten		0	0	0	0							0	https://de.wiktionary.org/wiki/in_Z%C3%BCchten
innere Stimme	1366	1366	innere Stimme		14	14	14	14							14	https://de.wiktionary.org/wiki/innere_Stimme
ins Auge gehen	1367	1367	ins Auge + GEHEN		21	339 -> 21	25	339 -> 25							21	https://de.wiktionary.org/wiki/ins_Auge_gehen
ins Blaue	1368	1368	ins Blaue		17	17	18	18							17	https://de.wiktionary.org/wiki/ins_Blaue
ins Bockshorn jagen	1369	1369	ins Bockshorn + jag		8	8 -> 8	8	8 -> 8							8	https://de.wiktionary.org/wiki/ins_Bockshorn_jagen
ins Fettnäpfchen treten	1370	1370	ins Fettnäpfchen + TRETEN		2	5 -> 2	3	5 -> 3							2	https://de.wiktionary.org/wiki/ins_Fettn%C3%A4pfchen_treten
ins Gedränge geraten	1371	1371	ins Gedränge + GERATEN		0	1 -> 0	0	1 -> 0							0	https://de.wiktionary.org/wiki/ins_Gedr%C3%A4nge_geraten
ins Gedränge kommen	1372	1372	ins Gedränge + KOMMEN		0	1 -> 0	0	1 -> 0							0	https://de.wiktionary.org/wiki/ins_Gedr%C3%A4nge_kommen
ins Gewicht fallen	1373	1373	ins Gewicht + FALLEN		137	138 -> 137	137	138 -> 137							137	https://de.wiktionary.org/wiki/ins_Gewicht_fallen
ins gleiche Horn blasen	1374	1374	ins gleiche Horn + BLASEN		1	17 -> 1	1	17 -> 1							1	https://de.wiktionary.org/wiki/ins_gleiche_Horn_blasen
ins gleiche Horn stoßen	1375	1375	ins gleiche Horn + STOẞEN		15	17 -> 15	15	17 -> 15							15	https://de.wiktionary.org/wiki/ins_gleiche_Horn_sto%C3%9Fen
ins gleiche Horn tuten	1376	1376	ins gleiche Horn + TUTEN		0	17 -> 0	0	17 -> 0							0	https://de.wiktionary.org/wiki/ins_gleiche_Horn_tuten
ins Gras beißen	1377	1377	ins Gras + BEIẞEN		7	18 -> 7	7	18 -> 7							7	https://de.wiktionary.org/wiki/ins_Gras_bei%C3%9Fen
ins Hintertreffen geraten	1378	1378	ins Hintertreffen + GERATEN		84	92 -> 84	85	92 -> 85							84	https://de.wiktionary.org/wiki/ins_Hintertreffen_geraten
ins kalte Wasser springen	1379	1379	ins kalte Wasser + SPRINGEN		7	28 -> 7	7	28 -> 7							7	https://de.wiktionary.org/wiki/ins_kalte_Wasser_springen
ins Klo greifen	1380	1380	ins Klo + GREIFEN		1	10 -> 1	6	10 -> 6							1	https://de.wiktionary.org/wiki/ins_Klo_greifen
ins Kraut schießen	1381	1381	ins Kraut + SCHIEẞEN		9	14 -> 9	9	14 -> 9							9	https://de.wiktionary.org/wiki/ins_Kraut_schie%C3%9Fen
ins Lot kommen	1382	1382	ins Lot + KOMMEN		1	11 -> 1	1	11 -> 1							1	https://de.wiktionary.org/wiki/ins_Lot_kommen
ins Ohr gehen	1383	1383	ins Ohr + GEHEN		11	40 -> 11	11	40 -> 11							11	https://de.wiktionary.org/wiki/ins_Ohr_gehen
ins rechte Licht rücken	1384	1384	ins rechte Licht + rück		16	21 -> 16	16	21 -> 16							16	https://de.wiktionary.org/wiki/ins_rechte_Licht_r%C3%BCcken
ins Reich der Fabel gehören	1385	1385	ins Reich der Fabel + gehör		0	4 -> 0	0	4 -> 0							0	https://de.wiktionary.org/wiki/ins_Reich_der_Fabel_geh%C3%B6ren
ins Reine schreiben	1386	1386	ins Reine + SCHREIBEN		0	5 -> 0	0	5 -> 0							0	https://de.wiktionary.org/wiki/ins_Reine_schreiben
ins Schwarze treffen	1387	1387	ins Schwarze + TREFFEN		33	51 -> 33	35	54 -> 35							33	https://de.wiktionary.org/wiki/ins_Schwarze_treffen
ins Stocken geraten	1388	1388	ins Stocken + GERATEN		129	157 -> 129	131	158 -> 131							129	https://de.wiktionary.org/wiki/ins_Stocken_geraten
ins Wasser fallen	1389	1389	ins Wasser + FALLEN + MANUAL_REVIEW		99	398 -> 99 -> 99	103	398 -> 103 -> 103							99	https://de.wiktionary.org/wiki/ins_Wasser_fallen
ins Wasser gehen	1390	1390	ins Wasser + GEHEN		43	398 -> 43	44	398 -> 44							43	https://de.wiktionary.org/wiki/ins_Wasser_gehen
Ironie des Schicksals	1391	1391	Ironie des Schicksals		12	12	12	12							12	https://de.wiktionary.org/wiki/Ironie_des_Schicksals
Irren ist menschlich	1392	1392	Irren ist menschlich		1	1	1	1							1	https://de.wiktionary.org/wiki/Irren_ist_menschlich
Jacke wie Hose sein	1393	1393	Jacke wie Hose		2	2	2	2							2	https://de.wiktionary.org/wiki/Jacke_wie_Hose_sein
jahraus, jahrein	1394	1394	jahraus, jahrein		0	0	0	0							0	https://de.wiktionary.org/wiki/jahraus%2C_jahrein
je oller, je doller	1395	1395	je oller, je doller		1	1	1	1							1	https://de.wiktionary.org/wiki/je_oller%2C_je_doller
jede Menge	1396	1396	jede Menge		710	710	712	712							710	https://de.wiktionary.org/wiki/jede_Menge
jedem das Seine	1397	1397	jedem das Seine		3	3	5	5							3	https://de.wiktionary.org/wiki/jedem_das_Seine
jedem Tierchen sein Pläsierchen	1398	1398	jedem Tierchen SEINNA Pläsierchen		1	1	1	1							1	https://de.wiktionary.org/wiki/jedem_Tierchen_sein_Pl%C3%A4sierchen
jeden Pfennig dreimal umdrehen	1399	1399	Pfennig + dreimal + \bum(\b|d|z|g) + dreh		0	139 -> 0 -> 0 -> 0	0	139 -> 0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/jeden_Pfennig_dreimal_umdrehen
jeden Pfennig dreimal umdrehen müssen	1400	1400	Pfennig + dreimal + umdrehen + MÜSSEN		0	139 -> 0 -> 0 -> 0	0	139 -> 0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/jeden_Pfennig_dreimal_umdrehen_m%C3%BCssen
jeden Pfennig zweimal umdrehen	1401	1401	Pfennig + zweimal + \bum(\b|d|z|g) + dreh		0	139 -> 1 -> 0 -> 0	0	139 -> 1 -> 0 -> 0							0	https://de.wiktionary.org/wiki/jeden_Pfennig_zweimal_umdrehen
jeden Pfennig zweimal umdrehen müssen	1402	1402	Pfennig + zweimal + umdrehen + MÜSSEN		0	139 -> 1 -> 0 -> 0	0	139 -> 1 -> 0 -> 0							0	https://de.wiktionary.org/wiki/jeden_Pfennig_zweimal_umdrehen_m%C3%BCssen
jeder hat sein Bündel zu tragen	1403	1403	SEINNA Bündel zu tragen		0	0	0	0							0	https://de.wiktionary.org/wiki/jeder_hat_sein_B%C3%BCndel_zu_tragen
jedes Wort auf die Goldwaage legen	1404	1404	Wort + auf die Goldwaage + LEGEN		5	4666 -> 5 -> 5	5	4677 -> 5 -> 5							5	https://de.wiktionary.org/wiki/jedes_Wort_auf_die_Goldwaage_legen
jedes Wort auf die Goldwage legen	1405	1405	Wort + auf die Goldwage + LEGEN		0	4666 -> 0 -> 0	0	4677 -> 0 -> 0							0	https://de.wiktionary.org/wiki/jedes_Wort_auf_die_Goldwage_legen
jemand bekommt Wasser auf die Mühle	1406	1406	Wasser auf die Mühle + BEKOMMEN		0	1 -> 0	0	1 -> 0							0	https://de.wiktionary.org/wiki/jemand_bekommt_Wasser_auf_die_M%C3%BChle
jemand hat einen Zahn drauf	1407	1407	einen Zahn drauf + HABEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/jemand_hat_einen_Zahn_drauf
jemandem alles aus der Nase ziehen müssen	1408	1408	alles aus der Nase + ZIEHEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/jemandem_alles_aus_der_Nase_ziehen_m%C3%BCssen
jemandem am Arsch vorbeigehen	1409	1409	am Arsch + \bvorbei(\b|z|g) + _GEHEN		5	20 -> 6 -> 5	6	20 -> 6 -> 6							5	https://de.wiktionary.org/wiki/jemandem_am_Arsch_vorbeigehen
jemandem am Herzen liegen	1410	1410	am Herzen + LIEGEN		249	271 -> 249	251	271 -> 251							249	https://de.wiktionary.org/wiki/jemandem_am_Herzen_liegen
jemandem an die Wäsche gehen	1411	1411	an die Wäsche + GEHEN		4	5 -> 4	4	5 -> 4							4	https://de.wiktionary.org/wiki/jemandem_an_die_W%C3%A4sche_gehen
jemandem ans Bein pissen	1412	1412	ans Bein + piss		0	11 -> 0	0	11 -> 0							0	https://de.wiktionary.org/wiki/jemandem_ans_Bein_pissen
jemandem ans Herz gewachsen sein	1413	1413	ans Herz + gewachsen + SEIN		32	107 -> 32 -> 32	32	107 -> 32 -> 32							32	https://de.wiktionary.org/wiki/jemandem_ans_Herz_gewachsen_sein
jemandem auf den Geist gehen	1414	1414	auf den Geist + GEHEN		11	22 -> 11	11	22 -> 11							11	https://de.wiktionary.org/wiki/jemandem_auf_den_Geist_gehen
jemandem auf den Keks gehen	1415	1415	auf den Keks + GEHEN		13	13 -> 13	14	14 -> 14							13	https://de.wiktionary.org/wiki/jemandem_auf_den_Keks_gehen
jemandem auf den Nägeln brennen	1416	1416	auf den Nägeln + BRENNEN		8	12 -> 8	8	12 -> 8							8	https://de.wiktionary.org/wiki/jemandem_auf_den_N%C3%A4geln_brennen
jemandem auf den Senkel gehen	1417	1417	auf den Senkel + GEHEN		8	8 -> 8	8	8 -> 8							8	https://de.wiktionary.org/wiki/jemandem_auf_den_Senkel_gehen
jemandem auf den Wecker fallen	1418	1418	auf den Wecker + FALLEN		0	6 -> 0	0	6 -> 0							0	https://de.wiktionary.org/wiki/jemandem_auf_den_Wecker_fallen
jemandem auf den Wecker gehen	1419	1419	auf den Wecker + GEHEN		5	6 -> 5	5	6 -> 5							5	https://de.wiktionary.org/wiki/jemandem_auf_den_Wecker_gehen
jemandem auf den Zahn fühlen	1420	1420	auf den Zahn + FÜHLEN		30	32 -> 30	32	32 -> 32							30	https://de.wiktionary.org/wiki/jemandem_auf_den_Zahn_f%C3%BChlen
jemandem auf der Nase herumtanzen	1421	1421	auf der Nase + \bherum(\b|t|z|g) + tanz		17	45 -> 18 -> 17	17	45 -> 18 -> 17							17	https://de.wiktionary.org/wiki/jemandem_auf_der_Nase_herumtanzen
