Redewendung	sort_order	id	re1	re2	n_cum_1	n_seq_1	n_ic_cum_1	n_ic_seq_1	n_cum_2	n_seq_2	n_ic_cum_2	n_ic_seq_2	n_manual	n_manual_cmt	n_final	link
anbieten wie sauer Bier	95	95	wie sauer Bier		1	1	1	1							1	https://de.wiktionary.org/wiki/anbieten_wie_sauer_Bier
anbieten wie Sauerbier	96	96	wie Sauerbier + \ban(\b|b|z|g) + _BIETEN		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/anbieten_wie_Sauerbier
angedeihen lassen	97	97	angedeihen + LASSEN		6	7 -> 6	6	7 -> 6							6	https://de.wiktionary.org/wiki/angedeihen_lassen
angst und bange sein	98	98	angst und bange + SEIN		3	9 -> 3	6	17 -> 6							3	https://de.wiktionary.org/wiki/angst_und_bange_sein
anno dazumal	99	99	anno dazumal		12	12	13	13							12	https://de.wiktionary.org/wiki/anno_dazumal
anno Tobak	100	100	anno Tobak		0	0	0	0							0	https://de.wiktionary.org/wiki/anno_Tobak
ans Bett gefesselt sein	101	101	ans Bett gefesselt + SEIN		6	10 -> 6	6	10 -> 6							6	https://de.wiktionary.org/wiki/ans_Bett_gefesselt_sein
Anstalten machen	102	102	Anstalten + MACHEN		27	147 -> 27	30	150 -> 30							27	https://de.wiktionary.org/wiki/Anstalten_machen
Anstalten treffen	103	103	Anstalten + TREFFEN		0	147 -> 0	0	150 -> 0							0	https://de.wiktionary.org/wiki/Anstalten_treffen
anything goes	104	104	anything goes		4	4	4	4							4	https://de.wiktionary.org/wiki/anything_goes
arbeiten wie ein Pferd	105	105	wie ein Pferd + arbeite		1	5 -> 1	1	5 -> 1							1	https://de.wiktionary.org/wiki/arbeiten_wie_ein_Pferd
Arm und Reich	106	106	Arm und Reich		53	53	62	62							53	https://de.wiktionary.org/wiki/Arm_und_Reich
arm wie eine Kirchenmaus sein	107	107	arm wie eine Kirchenmaus		0	0	0	0							0	https://de.wiktionary.org/wiki/arm_wie_eine_Kirchenmaus_sein
Arsch der Welt	108	108	Arsch der Welt		3	3	3	3							3	https://de.wiktionary.org/wiki/Arsch_der_Welt
Asbach uralt	109	109	Asbach uralt		0	0	1	1							0	https://de.wiktionary.org/wiki/Asbach_uralt
Asche aufs Haupt streuen	110	110	Asche aufs Haupt + streu		2	2 -> 2	2	2 -> 2							2	https://de.wiktionary.org/wiki/Asche_aufs_Haupt_streuen
Atem schöpfen	111	111	Atem + schöpf		1	473 -> 1	1	473 -> 1							1	https://de.wiktionary.org/wiki/Atem_sch%C3%B6pfen
auch nur mit Wasser kochen	112	112	nur + mit Wasser + koch		10	118215 -> 33 -> 10	10	118247 -> 33 -> 10							10	https://de.wiktionary.org/wiki/auch_nur_mit_Wasser_kochen
auf Abbruch heiraten	113	113	auf Abbruch + heirate		0	14 -> 0	0	14 -> 0							0	https://de.wiktionary.org/wiki/auf_Abbruch_heiraten
auf Achse sein	114	114	auf Achse + SEIN		12	17 -> 12	12	17 -> 12							12	https://de.wiktionary.org/wiki/auf_Achse_sein
auf allen Hochzeiten tanzen	115	115	auf allen Hochzeiten + tanz		1	1 -> 1	1	1 -> 1							1	https://de.wiktionary.org/wiki/auf_allen_Hochzeiten_tanzen
auf alten Schiffen lernt man segeln	116	116	auf alten Schiffen + segeln +LERNEN		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/auf_alten_Schiffen_lernt_man_segeln
auf Anhieb	117	117	auf Anhieb		313	313	314	314							313	https://de.wiktionary.org/wiki/auf_Anhieb
auf Biegen und Brechen	118	118	auf Biegen und Brechen		15	15	15	15							15	https://de.wiktionary.org/wiki/auf_Biegen_und_Brechen
auf dem Absatz kehrtmachen	119	119	auf dem Absatz + \bkehrt(\b|m|z|g) + _MACHEN		1	3 -> 1 -> 1	1	3 -> 1 -> 1							1	https://de.wiktionary.org/wiki/auf_dem_Absatz_kehrtmachen
auf dem absteigenden Ast sein	120	120	auf dem absteigenden Ast		10	10	10	10							10	https://de.wiktionary.org/wiki/auf_dem_absteigenden_Ast_sein
auf dem Boden der Tatsachen bleiben	121	121	auf dem Boden der Tatsachen + BLEIBEN		3	12 -> 3	3	12 -> 3							3	https://de.wiktionary.org/wiki/auf_dem_Boden_der_Tatsachen_bleiben
auf dem falschen Dampfer sein	122	122	auf dem falschen Dampfer + SEIN		1	1 -> 1	1	1 -> 1							1	https://de.wiktionary.org/wiki/auf_dem_falschen_Dampfer_sein
auf dem Gewissen haben	123	123	auf dem Gewissen		38	38	38	38							38	https://de.wiktionary.org/wiki/auf_dem_Gewissen_haben
auf dem Holzweg sein	124	124	auf dem Holzweg + SEIN		8	9 -> 8	8	9 -> 8							8	https://de.wiktionary.org/wiki/auf_dem_Holzweg_sein
auf dem Kieker haben	125	125	auf dem Kieker		4	4	4	4							4	https://de.wiktionary.org/wiki/auf_dem_Kieker_haben
auf dem kleinen Dienstweg	126	126	auf dem kleinen Dienstweg		3	3	3	3							3	https://de.wiktionary.org/wiki/auf_dem_kleinen_Dienstweg
auf dem Laufenden sein	127	127	auf dem Laufenden		188	188	192	192							188	https://de.wiktionary.org/wiki/auf_dem_Laufenden_sein
auf dem letzten Loch pfeifen	128	128	auf dem letzten Loch + PFEIFEN		7	8 -> 7	7	8 -> 7							7	https://de.wiktionary.org/wiki/auf_dem_letzten_Loch_pfeifen
auf dem Papier	129	129	auf dem Papier		249	249	249	249							249	https://de.wiktionary.org/wiki/auf_dem_Papier
auf dem Schlauch stehen	130	130	auf dem Schlauch + STEHEN	auf dem Schlauch + SEIN	1	1 -> 1	1	1 -> 1	0	1 -> 0	0	1 -> 0			1	https://de.wiktionary.org/wiki/auf_dem_Schlauch_stehen
auf dem Spiel stehen	131	131	auf dem Spiel + STEHEN	auf dem Spiel	283	294 -> 283	284	294 -> 284	294	294	294	294			283	https://de.wiktionary.org/wiki/auf_dem_Spiel_stehen
auf dem Sünderstühlchen sitzen	132	132	auf dem Sünderstühlchen + SITZEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/auf_dem_S%C3%BCnderst%C3%BChlchen_sitzen
auf dem Teppich bleiben	133	133	auf dem Teppich + BLEIBEN		14	23 -> 14	17	23 -> 17							14	https://de.wiktionary.org/wiki/auf_dem_Teppich_bleiben
auf dem Trockenen sitzen	134	134	auf dem Trockenen + SITZEN		10	24 -> 10	10	25 -> 10							10	https://de.wiktionary.org/wiki/auf_dem_Trockenen_sitzen
auf dem Zahnfleisch gehen	135	135	auf dem Zahnfleisch + GEHEN		8	15 -> 8	8	15 -> 8							8	https://de.wiktionary.org/wiki/auf_dem_Zahnfleisch_gehen
auf den Busch klopfen	136	136	auf den Busch + klopf		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/auf_den_Busch_klopfen
auf den fahrenden Zug aufspringen	137	137	auf den Zug + \bauf(\b|s|z|g) + _SPRINGEN	auf den fahrenden Zug + \bauf(\b|s|z|g) + _SPRINGEN	22	43 -> 43 -> 22	22	43 -> 43 -> 22	3	3 -> 3 -> 3	3	3 -> 3 -> 3			22	https://de.wiktionary.org/wiki/auf_den_fahrenden_Zug_aufspringen
auf den Geist gehen	138	138	auf den Geist + GEHEN		11	22 -> 11	11	22 -> 11							11	https://de.wiktionary.org/wiki/auf_den_Geist_gehen
auf den Hund kommen	139	139	auf den Hund + KOMMEN		15	24 -> 15	15	24 -> 15							15	https://de.wiktionary.org/wiki/auf_den_Hund_kommen
auf den Kopf hauen	140	140	auf den Kopf + HAUEN		7	350 -> 7	13	351 -> 13							7	https://de.wiktionary.org/wiki/auf_den_Kopf_hauen
auf den Leim gehen	141	141	auf den Leim + GEHEN		26	27 -> 26	26	27 -> 26							26	https://de.wiktionary.org/wiki/auf_den_Leim_gehen
auf den letzten Drücker	142	142	auf den letzten Drücker		43	43	43	43							43	https://de.wiktionary.org/wiki/auf_den_letzten_Dr%C3%BCcker
auf den Plan treten	143	143	auf den Plan + TRETEN		39	253 -> 39	39	253 -> 39							39	https://de.wiktionary.org/wiki/auf_den_Plan_treten
auf den Punkt kommen	144	144	auf den Punkt + KOMMEN		14	335 -> 14	25	336 -> 25							14	https://de.wiktionary.org/wiki/auf_den_Punkt_kommen
auf den Putz hauen	145	145	auf den Putz + HAUEN		14	15 -> 14	14	15 -> 14							14	https://de.wiktionary.org/wiki/auf_den_Putz_hauen
auf den Sack gehen	146	146	auf den Sack + GEHEN		13	15 -> 13	13	15 -> 13							13	https://de.wiktionary.org/wiki/auf_den_Sack_gehen
auf den Sankt-Nimmerleins-Tag	147	147	auf den Sankt-Nimmerleins-Tag		1	1	1	1							1	https://de.wiktionary.org/wiki/auf_den_Sankt-Nimmerleins-Tag
auf den Stutz	148	148	auf den Stutz		0	0	0	0							0	https://de.wiktionary.org/wiki/auf_den_Stutz
auf den Swutsch gehen	149	149	auf den Swutsch + GEHEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/auf_den_Swutsch_gehen
auf der Bärenhaut liegen	150	150	auf der Bärenhaut 		0	0	0	0							0	https://de.wiktionary.org/wiki/auf_der_B%C3%A4renhaut_liegen
auf der Dacken liegen	151	151	auf der Dacken + LIEGEN		0	1 -> 0	0	1 -> 0							0	https://de.wiktionary.org/wiki/auf_der_Dacken_liegen
auf der faulen Haut liegen	152	152	auf der faulen Haut + LIEGEN		5	6 -> 5	5	6 -> 5							5	https://de.wiktionary.org/wiki/auf_der_faulen_Haut_liegen
auf der gleichen Wellenlänge sein	153	153	auf der gleichen Wellenlänge + SEIN		3	3 -> 3	3	3 -> 3							3	https://de.wiktionary.org/wiki/auf_der_gleichen_Wellenl%C3%A4nge_sein
auf der Hand liegen	154	154	auf der Hand + LIEGEN		232	246 -> 232	232	246 -> 232							232	https://de.wiktionary.org/wiki/auf_der_Hand_liegen
auf der Hut sein	155	155	auf der Hut + SEIN		24	54 -> 24	28	55 -> 28							24	https://de.wiktionary.org/wiki/auf_der_Hut_sein
auf der Kippe stehen	156	156	auf der Kippe		141	141	141	141							141	https://de.wiktionary.org/wiki/auf_der_Kippe_stehen
auf der Lauer liegen	157	157	auf der Lauer + LIEGEN		11	15 -> 11	11	15 -> 11							11	https://de.wiktionary.org/wiki/auf_der_Lauer_liegen
auf der Stelle	158	158	auf der Stelle		205	205	205	205							205	https://de.wiktionary.org/wiki/auf_der_Stelle
auf der Straße leben	159	159	auf der Straße + LEBEN + MANUAL_REVIEW		44	1125 -> 44 -> 44	67	1125 -> 67 -> 67							44	https://de.wiktionary.org/wiki/auf_der_Stra%C3%9Fe_leben
auf der Strecke bleiben	160	160	auf der Strecke + BLEIBEN	auf der Strecke	230	824 -> 230	234	824 -> 234	824	824	824	824			230	https://de.wiktionary.org/wiki/auf_der_Strecke_bleiben
auf der Tacken liegen	161	161	auf der Tacken + LIEGEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/auf_der_Tacken_liegen
auf des Messers Schneide stehen	162	162	auf des Messers Schneide + STEHEN	auf des Messers Schneide	5	10 -> 5	5	10 -> 5	10	10	10	10			5	https://de.wiktionary.org/wiki/auf_des_Messers_Schneide_stehen
auf die Barrikaden gehen	163	163	auf die Barrikaden + GEHEN		37	54 -> 37	37	54 -> 37							37	https://de.wiktionary.org/wiki/auf_die_Barrikaden_gehen
auf die Kacke hauen	164	164	auf die Kacke + HAUEN		3	3 -> 3	3	3 -> 3							3	https://de.wiktionary.org/wiki/auf_die_Kacke_hauen
auf die Nase binden	165	165	auf die Nase + BINDEN		3	26 -> 3	3	26 -> 3							3	https://de.wiktionary.org/wiki/auf_die_Nase_binden
auf die Nase fallen	166	166	auf die Nase + FALLEN		8	26 -> 8	8	26 -> 8							8	https://de.wiktionary.org/wiki/auf_die_Nase_fallen
auf die Nerven gehen	167	167	auf die Nerven + GEHEN		80	87 -> 80	82	88 -> 82							80	https://de.wiktionary.org/wiki/auf_die_Nerven_gehen
