headword	n_manual_sampsize
ein Schuss in den Ofen	
ein schöner Zug von jemandem sein	
ein Silberstreifen am Horizont	
ein Spiel mit dem Feuer	
ein Tropfen auf den heißen Stein	
ein und aus gehen	
ein Unding sein	
ein wandelndes Lexikon sein	
ein wenig	
ein Wetter zum Eierlegen	
einander die Bälle zuspielen	
einander nichts schenken	
eine Aktie zeichnen	
eine andere Sprache sprechen	
eine Anleihe zeichnen	
eine Bauchlandung machen	
eine bittere Pille schlucken müssen	
eine deutliche Sprache sprechen	
eine dicke Lippe riskieren	
eine Doktorarbeit aus etwas machen	
eine Frau von Welt	
eine gute Figur machen	
eine halbe Portion	
eine harte Nuss zu knacken haben	
eine heilige Kuh schlachten	
eine Lage schmeißen	
eine lange Leitung haben	
eine Lanze brechen	
eine Leiche im Keller haben	
eine Meise haben	
eine Mütze Schlaf	
eine Nacht darüber schlafen	
eine Nadel fallen hören können	
eine Party schmeißen	
eine rauchen	all
eine Rolle spielen	
eine ruhige Kugel schieben	
eine Schlange am Busen nähren	
eine Schraube locker haben	
eine schöne Leich	
eine sichere Bank sein	
eine Standpauke halten	
eine weiße Weste haben	
eine Wissenschaft für sich sein	
einem nackten Mann in die Tasche fassen	
einem nackten Mann in die Tasche greifen	
einem Schatten nachjagen	
einen abbeißen	
einen Abflug machen	
einen Abgang machen	
einen abseilen	
einen alten Zopf abschneiden	
einen am Rad haben	
einen an der Klatsche haben	
einen Ausflug halten	
einen Bart haben	
einen Besen fressen	
einen Blick werfen	
einen Braten in der Röhre haben	
einen Clown gefrühstückt haben	
einen Dachschaden haben	
einen fahren lassen	
einen fahrenlassen	all
einen Fleischergang machen	
einen fliegen lassen	
einen Frosch im Hals haben	
einen Frosch im Halse haben	
einen Gang hochschalten	
einen grünen Daumen haben	
einen guten Schnitt machen	
einen Hermann machen	
einen Hund aus dem Ofen locken	
einen im Tee haben	
einen in der Krone haben	
einen Kloß im Hals haben	
einen Knall haben	
einen Korb bekommen	
einen Korb kriegen	
einen Krebs fangen	
einen kühlen Kopf bewahren	
einen Lauf haben	
einen Metzgergang machen	
einen Metzgersgang machen	
einen Mohren weiß waschen wollen	
einen Narren an jemandem gefressen haben	
einen Neger abseilen	
einen Pik auf jemanden haben	
einen rauchen	all
einen Reif anstecken	
einen Reif ausstecken	
einen runterholen	
einen Rückzieher machen	
einen Schatten haben	
einen Schlachtergang machen	
einen Schlussstrich ziehen	
einen Schmarren	
einen Schnitt machen	
einen sitzen haben	
einen Sprung in der Schüssel haben	
einen Stock im Arsch haben	
einen Türken bauen	all
einen Versuchsballon starten	
einen Vogel haben	
einen Zahn zulegen	
einen zur Brust nehmen	
einer Sache auf den Grund gehen	
einer Sache freien Lauf lassen	
einer Sache ihren Lauf lassen	
einmal hü und einmal hott sagen	
einmal mehr	
einpacken können	
eins a	
eins auf den Pelz brennen	
eins hinter die Löffel geben	
eins und eins zusammenzählen	
einschlagen wie eine Bombe	
einstürzen wie ein Kartenhaus	
einzig und allein	
empfindlich wie eine Mimose sein	
